T	6	7	8	9	10	11
90	23+	23+	22+	25+	23+	20+
89		•	21	•	22	•
88	22	22	•	24	•	•
87	•	•	20	•	•	19
86	•	•	•	23	21	•
85	21	21	•	•	•	18
84	•	•	19	22	20	•
83	20	20	•	•	•	•
82	•	•	18	21	19	17
81	19	19	•	•	•	•
80	•	•	17	20	18	•
79	•	•	•	•	•	16
78	18	18	•	19	•	•
77	•	•	16	•	17	15
76	17	17	•	18	•	•
75	•	•	15	•	16	•
74	16	16	•	17	•	14
73	•	•	•	•	15	•
72	15	15	14	16	•	13
71	•	•	•	•	14	•
70	•	•	13	15	•	•
69	14	14	•	•	•	12
68	•	•	12	14	13	•
67	13	13	•	•	•	•
66	•	•	•	13	12	11
65	12	12	11	•	•	•
64	•	•	•	12	11	10
63	11	11	10	•	•	•
62	•	•	•	11	10	•
61	•	•	•	•	•	9
60	10	10	9	10	9	•
59	•	•	•	•	•	8
58	9	9	8	9	•	•
57	•	•	•	•	8	•
56	8	8	7	8	•	7
55	•	•	•	•	7	•
54	7	7	•	7	•	•
53	•	•	6	•	6	6
52	•	•	•	6	•	•
51	6	6	5	•	5	5
50	•	•	•	5	•	•
49	5	5	•	•	•	•
48	•	•	4	4	4	4
47	4	4	•	•	•	•
46	•	•	3	•	3	•
45	3	3	•	3	•	3
44	•	•	2	•	2	•
43	•	•	•	2	•	2
42	2	2	•	•	1	•
41	•	•	1	1	•	•
40	0,1	0,1	0	0	0	0,1
